ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç êVãªçëäîéÆÉCÉìÉfÉbÉNÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2019/07/29,9986,9986,,184.52
2019/07/30,9997,9997,,184.97
2019/07/31,9946,9946,,184.50
2019/08/01,9911,9911,,184.07
2019/08/02,9622,9622,,178.98
2019/08/05,9367,9367,,176.00
2019/08/06,9021,9021,,169.75
2019/08/07,9071,9071,,171.45
2019/08/08,9066,9066,,171.98
2019/08/09,9181,9181,,175.41
2019/08/13,9013,9013,,173.02
2019/08/14,9077,9077,,174.76
2019/08/15,8972,8972,,174.39
2019/08/16,8981,8981,,175.03
2019/08/19,9076,9076,,178.28
2019/08/20,9153,9153,,180.48
2019/08/21,9158,9158,,181.30
2019/08/22,9215,9215,,183.01
2019/08/23,9135,9135,,181.89
2019/08/26,8954,8954,,178.56
2019/08/27,8942,8942,,178.49
2019/08/28,8966,8966,,178.97
2019/08/29,8999,8999,,181.02
2019/08/30,9094,9094,,183.24
2019/09/02,9178,9178,,185.24
2019/09/03,9182,9182,,185.60
2019/09/04,9079,9079,,183.50
2019/09/05,9287,9287,,188.60
2019/09/06,9444,9444,,190.83
2019/09/09,9484,9484,,191.81
2019/09/10,9556,9556,,193.35
2019/09/11,9560,9560,,193.27
2019/09/12,9686,9686,,196.21
2019/09/13,9755,9755,,197.24
2019/09/17,9770,9770,,198.31
2019/09/18,9714,9714,,197.16
2019/09/19,9739,9739,,198.39
2019/09/20,9665,9665,,197.27
2019/09/24,9630,9630,,196.57
2019/09/25,9534,9534,,194.94
2019/09/26,9544,9544,,195.37
2019/09/27,9573,9573,,196.38
2019/09/30,9511,9511,,195.30
2019/10/01,9540,9540,,196.24
2019/10/02,9470,9470,,195.25
2019/10/03,9335,9335,,192.47
2019/10/04,9359,9359,,195.03
2019/10/07,9376,9376,,195.54
2019/10/08,9394,9394,,196.06
2019/10/09,9361,9361,,195.37
2019/10/10,9388,9388,,196.73
2019/10/11,9505,9505,,199.44
2019/10/15,9718,9718,,204.47
2019/10/16,9762,9762,,205.65
2019/10/17,9826,9826,,208.01
2019/10/18,9861,9861,,209.32
2019/10/21,9807,9807,,207.99
2019/10/23,9879,9879,,209.47
2019/10/24,9894,9894,,209.96
2019/10/25,9936,9936,,210.94
